Frame	RG
0 	 18.557329177856445
1 	 18.561813354492188
2 	 18.569766998291016
3 	 18.58779525756836
4 	 18.594844818115234
5 	 18.57593536376953
6 	 18.58634376525879
7 	 18.59725570678711
8 	 18.57965660095215
9 	 18.58390998840332
10 	 18.602243423461914
11 	 18.58546257019043
12 	 18.597415924072266
13 	 18.58673858642578
14 	 18.61060333251953
15 	 18.598146438598633
16 	 18.575092315673828
17 	 18.57592010498047
18 	 18.563642501831055
19 	 18.57107162475586
20 	 18.559099197387695
21 	 18.57029914855957
22 	 18.570289611816406
23 	 18.591033935546875
24 	 18.563907623291016
25 	 18.59387969970703
26 	 18.603300094604492
27 	 18.586368560791016
28 	 18.589122772216797
29 	 18.562440872192383
30 	 18.62916374206543
31 	 18.586036682128906
32 	 18.590564727783203
33 	 18.58597755432129
34 	 18.577346801757812
35 	 18.58443832397461
36 	 18.621456146240234
37 	 18.562536239624023
38 	 18.630685806274414
39 	 18.601871490478516
40 	 18.59760284423828
41 	 18.60407829284668
42 	 18.588245391845703
43 	 18.672800064086914
44 	 18.699785232543945
45 	 18.64681053161621
46 	 18.71955108642578
47 	 18.65493392944336
48 	 18.5549373626709
49 	 18.626455307006836
50 	 18.664264678955078
51 	 18.715124130249023
52 	 18.69062614440918
53 	 18.672704696655273
54 	 18.6727352142334
55 	 18.69179344177246
56 	 18.736745834350586
57 	 18.797658920288086
58 	 18.81719398498535
59 	 18.808700561523438
60 	 18.817340850830078
61 	 18.796552658081055
62 	 18.79831886291504
63 	 18.789138793945312
64 	 18.890274047851562
65 	 18.75136947631836
66 	 18.783437728881836
67 	 18.786239624023438
68 	 18.764892578125
69 	 18.773916244506836
70 	 18.766700744628906
71 	 18.793075561523438
72 	 18.83016014099121
73 	 18.831785202026367
74 	 18.86916732788086
75 	 18.889007568359375
76 	 18.796968460083008
77 	 18.820587158203125
78 	 18.83450698852539
79 	 18.881982803344727
80 	 18.878244400024414
81 	 18.798622131347656
82 	 18.846511840820312
83 	 18.861770629882812
84 	 18.872509002685547
85 	 18.896928787231445
86 	 18.86735725402832
87 	 18.883317947387695
88 	 18.846359252929688
89 	 18.805395126342773
90 	 18.818328857421875
91 	 18.821212768554688
92 	 18.852996826171875
93 	 18.82341194152832
94 	 18.87882423400879
95 	 18.737102508544922
96 	 18.84182357788086
97 	 18.89145278930664
98 	 18.892210006713867
99 	 18.839265823364258
100 	 18.8463134765625
101 	 18.828184127807617
102 	 18.866622924804688
103 	 18.862089157104492
104 	 18.767568588256836
105 	 18.707059860229492
106 	 18.770872116088867
107 	 18.836299896240234
108 	 18.800186157226562
109 	 18.779550552368164
110 	 18.84033966064453
111 	 18.787303924560547
112 	 18.828046798706055
113 	 18.811485290527344
114 	 18.909635543823242
115 	 18.86465072631836
116 	 18.848398208618164
117 	 18.838830947875977
118 	 18.862552642822266
119 	 18.878509521484375
120 	 18.827239990234375
121 	 18.818906784057617
122 	 18.834806442260742
123 	 18.83869171142578
124 	 18.856754302978516
125 	 18.835899353027344
126 	 18.900314331054688
127 	 18.85200309753418
128 	 18.865489959716797
129 	 18.856365203857422
130 	 18.88625144958496
131 	 18.883304595947266
132 	 18.82431411743164
133 	 18.9359188079834
134 	 18.904502868652344
135 	 18.860637664794922
136 	 18.868906021118164
137 	 18.894989013671875
138 	 18.85014533996582
139 	 18.887781143188477
140 	 18.790203094482422
141 	 18.806718826293945
142 	 18.816377639770508
143 	 18.859813690185547
144 	 18.838558197021484
145 	 18.8001766204834
146 	 18.81417465209961
147 	 18.847370147705078
148 	 18.888507843017578
149 	 18.903669357299805
