Frame	Density (g/cm^3)
0	0.9513189251376123
1	1.030383723630062
2	1.0494643852571466
3	1.052460054014892
4	1.05071278157742
5	1.050310345678108
6	1.049016968418554
7	1.0476860774924788
8	1.0463623113552318
9	1.0458438225226931
10	1.0492012566317077
11	1.047489444990355
12	1.0476852830290937
13	1.0433332996431481
14	1.0463526908326903
15	1.0440366139588875
16	1.0481935508149396
17	1.0431404377401272
18	1.0423189955629837
19	1.0420774985062775
20	1.0391300549355342
21	1.0369522079937226
22	1.038338073089477
23	1.0398430277014534
24	1.0385822270978007
25	1.0373546133017633
26	1.0373771436114703
27	1.0320726428455393
28	1.035323110972476
29	1.032615188167496
30	1.0384968648377126
31	1.0316619637760118
32	1.0323986641052751
33	1.0377534659564418
34	1.0345362326219878
35	1.0358073999416721
36	1.0369214116280165
37	1.0343911473887724
38	1.0337951919263169
39	1.0285468845989714
40	1.02941296915416
41	1.0300369205444282
42	1.031832844992894
43	1.0290459269990413
44	1.0328034689851897
45	1.0348205486494138
46	1.031607814564781
47	1.0334662549431812
48	1.0339075797648383
49	1.032731490721202
50	1.0357312647133137
51	1.0338873118871301
52	1.031487638539491
53	1.0326708805636777
54	1.0312298967589673
55	1.0329528893893025
56	1.0368116537287795
57	1.0322386265539318
58	1.0319196767045031
59	1.0257412303165176
60	1.0301737630728793
61	1.0313005737931022
62	1.0352783953008649
63	1.0306069613708433
64	1.0305651508410778
65	1.032509306179958
66	1.0297706927659513
67	1.0298245089165605
68	1.0285316706076035
69	1.03159167679844
70	1.0289527838399557
71	1.0275270045080473
72	1.0336241103875037
73	1.033450606338783
74	1.0302476571818604
75	1.0294112389426486
76	1.0336070658387033
77	1.038021696484114
78	1.0323715126281239
79	1.0319484805931556
80	1.034443389198582
81	1.0307922373993588
82	1.0314533927383005
83	1.0312414304324193
84	1.0281562375014797
85	1.0352300865122
86	1.0340392100890192
87	1.0335811198016172
88	1.0325792167556407
89	1.0388757011505192
90	1.036911566685554
91	1.0317811318924999
92	1.0331891001437474
93	1.0331680057828685
94	1.0277609662873175
95	1.0321465380613208
96	1.0320121409694445
97	1.0337149644212995
98	1.0358933313529328
99	1.0354367545894787
100	1.0299496854388148
101	1.032901677543174
102	1.0366769349262612
103	1.0338235363670114
104	1.0382750794072628
105	1.026650612368615
106	1.0347079098282264
107	1.0334264565719182
108	1.0320337447621328
109	1.03690284949683
110	1.034245956191281
111	1.0369293559995192
112	1.0362799624317316
113	1.035199689376778
114	1.0296640787824949
115	1.0292403037274735
116	1.0334955966009851
117	1.039265134864022
118	1.032075536407114
119	1.0324762623118178
120	1.0386707956157586
121	1.030871397847783
122	1.0305060306616256
123	1.0331943679288453
124	1.0327570294915596
125	1.032789728583012
126	1.038418384641309
127	1.033197238005753
128	1.035180048791945
129	1.0332005658577155
130	1.0368035985530761
131	1.0329545833978369
132	1.0349537437256302
133	1.0291504366211126
134	1.0336996478923763
135	1.0340033703786282
136	1.0315656868976022
137	1.0310146579099184
138	1.0402567116158878
139	1.0366008714385992
140	1.0329040520875896
141	1.0353195604487737
142	1.0373183594762228
143	1.0344219514552104
144	1.0297998224332257
145	1.0330682453807922
146	1.0302484188046992
147	1.0358055204946686
