Frame	Density (g/cm^3)
0	1.0199524900463735
1	1.0199524900463735
2	0.9471614346378785
3	0.9471668866951505
4	0.9443570865385938
5	0.9452843450790984
6	0.9459048111984699
7	0.9457474457418273
8	0.9414587103605528
9	0.9446168659870124
10	0.9529447039775908
11	0.9467504122578222
12	0.9451221238994515
13	0.9473115176147715
14	0.9547970561811702
15	0.952028360058618
16	0.949988014344763
17	0.9482352064361325
18	0.9537253297873738
19	0.9545133015446094
20	0.9474275196144235
21	0.951220008259507
22	0.9552853024202056
23	0.9600088402354794
24	0.9653562002901647
25	0.9721699807615839
26	0.977374614845011
27	0.9795304407341063
28	0.9841997886300133
29	0.9908228493810813
30	0.9901420242254545
31	0.9973797238027257
32	0.9952884533455467
33	1.0004518063516092
34	0.9965823273335594
35	1.0017647734965345
36	1.0064272877761244
37	0.9980966631130308
38	1.0002086704118285
39	1.0013283392535004
40	1.0009380607175917
41	1.0061503905955431
42	1.0045042942178402
43	1.0034536545787056
44	1.0076727175787208
45	1.0000229720297598
46	1.007499293889015
47	1.0055617313398597
48	1.0045823857319627
49	1.0083900984882754
50	1.000339128729594
51	1.0100146018078555
52	1.001943774891895
53	0.9995947681888572
54	1.003219841176074
55	1.0080743873958298
56	1.0056262861969092
57	1.0028854236550027
58	1.0028851433407002
59	0.9962847541900302
60	1.0097241244960726
61	1.007246735784979
62	1.0028519505633118
63	1.0055105849772517
64	1.0000396101337155
65	0.9982956191072999
66	1.0031862210985412
67	1.0032780018289214
68	1.00567980114428
69	1.0026244099053487
70	1.0001248223173498
71	1.003725192842794
72	1.0028851199811821
73	0.9997005004007516
74	1.0056235225218135
75	0.9996978078857445
76	1.0007969314561578
77	1.002498303253895
78	1.0004874829456443
79	1.0086057175360896
80	1.0033912645832366
81	0.9999718301659901
82	0.9962926691347009
83	1.0033835014534083
84	1.0096877703455076
85	1.003697271208525
86	1.0052387214726028
87	1.0072699067426099
88	1.0043310612789236
89	1.00223936507379
90	1.0078700837059142
91	1.0003401823256075
92	1.0047092282860313
93	1.001446496170529
94	1.0045410260287606
95	1.010508633346044
96	1.0060612649667504
97	1.0069074936854951
98	1.0032090186154907
99	0.9967380527450346
100	1.001624715872533
101	0.9969030286408155
102	1.0031167285682314
103	1.0094252946794837
104	0.9994371049665157
105	0.997133660225701
106	0.9966964904474581
107	0.9956931340352493
108	0.9957888302945223
109	1.0014560306775682
110	1.0003149043804649
111	1.0016138344989314
112	1.008608001462319
113	1.003038864745654
114	1.0004155124451386
115	0.9996285657153087
116	1.0043328495373653
117	0.99561453055966
118	0.9931308155365494
119	0.9957515689723507
120	1.0010956780544906
121	0.9963138249390578
122	1.005551507913456
123	0.9947209191174218
124	0.9908363097426826
125	0.9979230425605791
126	1.0005402508440346
127	0.9944428226978134
128	0.9896255667527111
129	0.9967674268588848
130	0.9976680803947027
131	1.0006807417978516
132	0.9950182944965746
133	1.0025383666516923
134	0.9956156432932022
135	0.9975192746012045
136	0.9965968750247616
137	1.0101896905217669
138	0.9965546863526324
139	0.9912722019886131
140	0.9988123400169628
141	0.9924613423663988
142	1.0051008974208064
143	0.9936610059841767
144	1.0027976773587803
145	1.006297878702385
146	0.9975731397299312
147	1.0058796615035974
148	0.9905299737808388
149	0.9950788349854397
150	1.0012425182990088
151	0.9899882087339819
152	0.9972075766394033
153	0.9962125188416784
154	0.9934560762587114
155	1.0017636547447055
156	0.9870363228429275
157	0.9948515971061458
158	0.9919854887635465
159	0.99812110407642
160	0.9865066592961577
161	0.9924204562033716
162	0.9915532467876119
163	1.0025259481342859
164	0.9892249081928098
165	0.9827193274754946
166	0.9887164525628341
167	0.9929161821027991
168	1.0014423190576993
169	0.9986247277490765
170	0.9908587926303046
171	0.997863920801371
172	0.9903979302099162
173	0.9982010063825627
174	0.9954992571675441
175	0.9990661178841673
176	0.9880028773898508
177	0.9999205851652417
178	1.0009428618908536
179	0.9907141690297904
180	0.9899356223736979
181	1.0000434426279208
182	0.9938684596988722
183	0.9982645270048804
184	0.9936181865303944
185	0.9858480027751536
186	0.9886455677586007
187	0.988056921353292
188	0.9949624823553362
189	0.9880536185390087
190	0.983635455749624
191	0.9901377587281586
192	0.989422479883865
193	0.9904963709497966
194	0.9954828158310348
195	0.9932269287085079
196	0.9971004006447275
197	0.9995951085508145
198	0.9847856261743888
199	0.9910992743601356
200	0.9817444084858571
201	0.9893957120806124
202	0.9832402231087922
203	0.9849813758320496
204	0.9927763061677015
205	0.9932835850872368
206	0.9905503918043607
207	0.9767958305082876
208	0.9879298204990656
209	0.9858316981097895
210	0.9918471924827135
211	0.9955146248993767
212	0.994728464517405
213	0.9871102433791574
214	0.9882706989405562
215	0.9867369297115487
216	0.990848949590789
217	0.9827106547941243
218	0.9811601703920939
219	0.9918544049343353
220	0.9897338415451248
221	0.988124599897075
222	0.9831871986864529
223	0.9834663202498966
224	1.001821545663348
225	0.9849903139725972
226	0.9884278537137434
227	0.9747108714803489
228	0.9845217910559928
229	0.9815345336806219
230	0.9858717798113097
231	0.9901450374191824
232	0.9849113184468273
233	0.9952302031069536
234	0.9784341787811721
235	0.9842812051497194
236	0.9885465412949186
237	0.9897327570873636
238	0.9859246050528964
239	0.9804389707617343
240	0.9894757772861212
241	0.9915266527931663
242	0.9892154536450467
243	0.9841974114340319
244	0.9897545680372645
245	0.9853206882804945
246	0.9857323242963701
247	0.9919706640188417
248	0.9779275051906158
249	0.9888368748394433
250	0.9847747397103406
251	0.9827154247499348
252	0.9823463984070272
253	0.9956162879123921
254	0.9868660234084304
255	1.0071709702688478
